"Country","Year","Month","glm","lmer","Insurgency","SAE"
"MONGOLIA",2010,7,0.132212718131903,5.18390924271723e-05,0,0.00203253970621861
"MONGOLIA",2010,8,0.132212718131903,4.94819382911137e-05,0,0.00203253970621861
"MONGOLIA",2010,9,0.132212718131903,6.86805990319398e-05,0,0.00234094939794626
"MYANMAR",2010,1,0.0882251795417576,2.09597988029756e-05,0,0.109712358491325
"MYANMAR",2010,10,0.0882251795417576,0.000115213877629799,0,0.106848078784345
"MYANMAR",2010,11,0.0882251795417576,0.000431637978563887,0,0.106848078784345
"MYANMAR",2010,12,0.0882251795417576,0.000412637278891613,0,0.116863739037086
"MYANMAR",2010,2,0.0882251795417576,2.00066276757313e-05,0,0.1190004201008
"MYANMAR",2010,3,0.0882251795417576,1.91831725449985e-05,0,0.1190004201008
"MYANMAR",2010,4,0.0882251795417576,1.83108867591047e-05,0,0.106848078784345
"MYANMAR",2010,5,0.0882251795417576,3.75736685303345e-05,0,0.143030204300436
"MYANMAR",2010,6,0.0882251795417576,1.92676542336056e-05,0,0.120262730720364
"MYANMAR",2010,7,0.0882251795417576,5.34416050638196e-05,0,0.0850519204129296
"MYANMAR",2010,8,0.0882251795417576,5.10113615277214e-05,0,0.0987683913977038
"MYANMAR",2010,9,0.0882251795417576,0.000120520246048265,0,0.108280045067814
"NEPAL",2010,1,0.138211672657266,0.976963307688528,0,0.586748207024324
"NEPAL",2010,10,0.138211672657266,0.99975803655618,0,0.586748207024324
"NEPAL",2010,11,0.138211672657266,0.9997531350596,0,0.604305677712922
"NEPAL",2010,12,0.138211672657266,0.999734838108211,0,0.684002771732745
"NEPAL",2010,2,0.138211672657266,0.975892316707834,0,0.586748207024324
"NEPAL",2010,3,0.138211672657266,0.974883335563809,0,0.586748207024324
"NEPAL",2010,4,0.138211672657266,0.973718246663681,0,0.586748207024324
"NEPAL",2010,5,0.138211672657266,0.977370287022236,0,0.586748207024324
"NEPAL",2010,6,0.138211672657266,0.980747895275177,1,0.590360567784395
"NEPAL",2010,7,0.138211672657266,0.999686630112125,1,0.586748207024324
"NEPAL",2010,8,0.138211672657266,0.999676022833232,0,0.586748207024324
"NEPAL",2010,9,0.138211672657266,0.999771731478455,0,0.64949505813336
"NEW ZEALAND",2010,1,0.14204610155822,4.32227805719537e-07,0,2.59627859765414e-07
"NEW ZEALAND",2010,10,0.14204610155822,8.89714582692564e-07,0,2.59627859765414e-07
"NEW ZEALAND",2010,11,0.14204610155822,8.49337971789025e-07,0,2.59627859765414e-07
"NEW ZEALAND",2010,12,0.14204610155822,8.11856577201903e-07,0,2.59627859765414e-07
"NEW ZEALAND",2010,2,0.14204610155822,4.12573187786204e-07,0,2.59627859765414e-07
"NEW ZEALAND",2010,3,0.14204610155822,3.95589968510998e-07,0,2.59627859765414e-07
"NEW ZEALAND",2010,4,0.14204610155822,3.77601375786588e-07,0,2.59627859765414e-07
"NEW ZEALAND",2010,5,0.14204610155822,4.79034837604019e-07,0,2.59627859765414e-07
"NEW ZEALAND",2010,6,0.14204610155822,4.57251772829811e-07,0,2.59627859765414e-07
"NEW ZEALAND",2010,7,0.14204610155822,5.80081371787349e-07,0,2.59627859765414e-07
"NEW ZEALAND",2010,8,0.14204610155822,5.53703438732631e-07,0,2.59627859765414e-07
"NEW ZEALAND",2010,9,0.14204610155822,9.30790483983518e-07,0,2.59627859765414e-07
"NORTH KOREA",2010,1,0.15025392319698,3.06694537812309e-06,0,6.77637338516556e-05
"NORTH KOREA",2010,10,0.15025392319698,4.39934827898475e-06,0,6.77637338516556e-05
"NORTH KOREA",2010,11,0.15025392319698,4.20671899628607e-06,0,6.77637338516556e-05
"NORTH KOREA",2010,12,0.15025392319698,4.05473219706635e-06,0,6.77637338516556e-05
"NORTH KOREA",2010,2,0.15025392319698,2.92489985515618e-06,0,6.77637338516556e-05
"NORTH KOREA",2010,3,0.15025392319698,2.80615017567602e-06,0,6.77637338516556e-05
"NORTH KOREA",2010,4,0.15025392319698,2.67697096476784e-06,0,6.77637338516556e-05
"NORTH KOREA",2010,5,0.15025392319698,3.1153729644682e-06,0,6.77637338516556e-05
"NORTH KOREA",2010,6,0.15025392319698,2.97108452532822e-06,0,6.77637338516556e-05
"NORTH KOREA",2010,7,0.15025392319698,3.45256916739812e-06,0,6.77637338516556e-05
"NORTH KOREA",2010,8,0.15025392319698,3.87357653372202e-06,0,6.77637338516556e-05
"NORTH KOREA",2010,9,0.15025392319698,4.61693478960082e-06,0,6.77637338516556e-05
"PAPUA NEW GUINEA",2010,1,0.0346531297212197,5.74892676555892e-06,0,0.000265144375145911
"PAPUA NEW GUINEA",2010,10,0.0346531297212197,3.68609864001154e-05,0,0.000265144375145911
"PAPUA NEW GUINEA",2010,11,0.0346531297212197,3.51848716231181e-05,0,0.000265144375145911
"PAPUA NEW GUINEA",2010,12,0.0346531297212197,3.36354253761984e-05,0,0.000265144375145911
"PAPUA NEW GUINEA",2010,2,0.0346531297212197,5.48888544360902e-06,0,0.000265144375145911
"PAPUA NEW GUINEA",2010,3,0.0346531297212197,5.26294131031243e-06,0,0.000265144375145911
"PAPUA NEW GUINEA",2010,4,0.0346531297212197,5.02362162213221e-06,0,0.000265144375145911
"PAPUA NEW GUINEA",2010,5,0.0346531297212197,6.07848939884986e-06,0,0.000265144375145911
"PAPUA NEW GUINEA",2010,6,0.0346531297212197,2.18323044166497e-05,0,0.000265144375145911
"PAPUA NEW GUINEA",2010,7,0.0346531297212197,7.02041435083063e-06,0,0.000265144375145911
"PAPUA NEW GUINEA",2010,8,0.0346531297212197,6.70117830851941e-06,0,0.000265144375145911
"PAPUA NEW GUINEA",2010,9,0.0346531297212197,3.85590152990695e-05,0,0.000265144375145911
"PHILIPPINES",2010,1,0.141155991586808,0.996231638731241,1,0.997341535509096
"PHILIPPINES",2010,10,0.141155991586808,0.999757279816212,1,0.993904288607957
"PHILIPPINES",2010,11,0.141155991586808,0.999643918185096,1,0.719523138737506
"PHILIPPINES",2010,12,0.141155991586808,0.99968420023698,1,0.972329303747363
"PHILIPPINES",2010,2,0.141155991586808,0.995347420305143,1,0.992118532262668
"PHILIPPINES",2010,3,0.141155991586808,0.997028591657514,1,0.697738112108762
"PHILIPPINES",2010,4,0.141155991586808,0.994935274677185,1,0.86229979377346
"PHILIPPINES",2010,5,0.141155991586808,0.999522523871108,1,0.971639571418725
"PHILIPPINES",2010,6,0.141155991586808,0.999578670814079,1,0.980417167483873
"PHILIPPINES",2010,7,0.141155991586808,0.999451433429162,1,0.950983815783971
"PHILIPPINES",2010,8,0.141155991586808,0.999324421898915,1,0.998742637226341
"PHILIPPINES",2010,9,0.141155991586808,0.999754208258035,1,0.996920739320036
"RUSSIA",2010,1,0.0322990945704794,3.12951649610704e-07,0,0.0104208075523877
"RUSSIA",2010,10,0.0322990945704794,5.00232545138118e-07,0,0.0104208075523877
"RUSSIA",2010,11,0.0322990945704794,7.86850747361721e-07,0,0.0104208075523877
"RUSSIA",2010,12,0.0322990945704794,4.58129892047245e-07,0,0.0104208075523877
"RUSSIA",2010,2,0.0322990945704794,2.98857427231543e-07,0,0.0104208075523877
"RUSSIA",2010,3,0.0322990945704794,2.86293373907066e-07,0,0.0104208075523877
"RUSSIA",2010,4,0.0322990945704794,3.22487805992064e-07,0,0.0104208075523877
"RUSSIA",2010,5,0.0322990945704794,3.12843515171835e-07,0,0.0104208075523877
"RUSSIA",2010,6,0.0322990945704794,2.98617636172498e-07,0,0.0104208075523877
"RUSSIA",2010,7,0.0322990945704794,3.41387393882021e-07,0,0.0104208075523877
"RUSSIA",2010,8,0.0322990945704794,4.53176768920195e-07,0,0.0104208075523877
"RUSSIA",2010,9,0.0322990945704794,4.45047183689661e-07,0,0.0284939996823069
"SINGAPORE",2010,1,0.0370355947301829,2.2178951188931e-08,0,4.83436095467418e-05
"SINGAPORE",2010,10,0.0370355947301829,4.02246013006294e-08,0,4.83436095467418e-05
"SINGAPORE",2010,11,0.0370355947301829,3.83954744942384e-08,0,4.83436095467418e-05
"SINGAPORE",2010,12,0.0370355947301829,3.67045851994267e-08,0,4.83436095467418e-05
"SINGAPORE",2010,2,0.0370355947301829,2.11704113017882e-08,0,4.83436095467418e-05
"SINGAPORE",2010,3,0.0370355947301829,2.02976785185944e-08,0,4.83436095467418e-05
"SINGAPORE",2010,4,0.0370355947301829,1.93758983980486e-08,0,4.83436095467418e-05
"SINGAPORE",2010,5,0.0370355947301829,2.38128287128077e-08,0,4.83436095467418e-05
"SINGAPORE",2010,6,0.0370355947301829,2.27314147950699e-08,0,4.83436095467418e-05
"SINGAPORE",2010,7,0.0370355947301829,2.79384812814902e-08,0,4.83436095467418e-05
"SINGAPORE",2010,8,0.0370355947301829,2.66680392139802e-08,0,4.83436095467418e-05
"SINGAPORE",2010,9,0.0370355947301829,4.20776490086285e-08,0,4.83436095467418e-05
"SOLOMIN ISLANDS",2010,1,0.135159841797553,4.68370912590954e-06,0,1.37467783168395e-05
"SOLOMIN ISLANDS",2010,10,0.135159841797553,0.000103651563965922,0,1.37467783168395e-05
"SOLOMIN ISLANDS",2010,11,0.135159841797553,9.89386992674026e-05,0,1.37467783168395e-05
"SOLOMIN ISLANDS",2010,12,0.135159841797553,9.45819730452646e-05,0,1.37467783168395e-05
"SOLOMIN ISLANDS",2010,2,0.135159841797553,4.4707285203523e-06,0,1.37467783168395e-05
"SOLOMIN ISLANDS",2010,3,0.135159841797553,4.28669555459664e-06,0,1.37467783168395e-05
"SOLOMIN ISLANDS",2010,4,0.135159841797553,4.09176812923775e-06,0,1.37467783168395e-05
"SOLOMIN ISLANDS",2010,5,0.135159841797553,5.19091733071297e-06,0,1.37467783168395e-05
"SOLOMIN ISLANDS",2010,6,0.135159841797553,4.95487274478387e-06,0,1.37467783168395e-05
"SOLOMIN ISLANDS",2010,7,0.135159841797553,6.28587154176248e-06,0,1.37467783168395e-05
"SOLOMIN ISLANDS",2010,8,0.135159841797553,6.45026718652759e-05,0,1.37467783168395e-05
"SOLOMIN ISLANDS",2010,9,0.135159841797553,0.000108426017145903,0,1.37467783168395e-05
"SOUTH KOREA",2010,1,0.139959872124521,9.03644192849423e-08,0,0.0166105051947818
"SOUTH KOREA",2010,10,0.139959872124521,1.57775897810129e-07,0,0.0166105051947818
"SOUTH KOREA",2010,11,0.139959872124521,1.51058570220805e-07,0,0.0166105051947818
"SOUTH KOREA",2010,12,0.139959872124521,1.44437406969612e-07,0,0.0166105051947818
"SOUTH KOREA",2010,2,0.139959872124521,1.20022642166625e-07,0,0.0166105051947818
"SOUTH KOREA",2010,3,0.139959872124521,8.2713620748185e-08,0,0.0166105051947818
"SOUTH KOREA",2010,4,0.139959872124521,7.89353055151535e-08,0,0.0166105051947818
"SOUTH KOREA",2010,5,0.139959872124521,9.61878820480785e-08,0,0.0166105051947818
"SOUTH KOREA",2010,6,0.139959872124521,9.1813946237236e-08,0,0.0166105051947818
"SOUTH KOREA",2010,7,0.139959872124521,1.11905582080877e-07,0,0.0166105051947818
"SOUTH KOREA",2010,8,0.139959872124521,1.25913750396641e-07,0,0.0166105051947818
"SOUTH KOREA",2010,9,0.139959872124521,1.95247274148289e-07,0,0.0166105051947818
"SRI LANKA",2010,1,0.133535213264711,1.04768719470315e-06,0,0.000345367455108626
"SRI LANKA",2010,10,0.133535213264711,2.39433450405353e-05,0,0.000416773370665019
"SRI LANKA",2010,11,0.133535213264711,2.2854598015402e-05,0,0.000486494495544083
"SRI LANKA",2010,12,0.133535213264711,2.18725338439578e-05,0,0.000380344914646909
"SRI LANKA",2010,2,0.133535213264711,9.97564366023395e-06,0,0.000443107841946068
"SRI LANKA",2010,3,0.133535213264711,9.56500866203652e-06,0,0.000442304237351145
"SRI LANKA",2010,4,0.133535213264711,1.66753414899438e-05,0,0.000509517759173715
"SRI LANKA",2010,5,0.133535213264711,1.52217055384868e-05,0,0.000416773370665019
"SRI LANKA",2010,6,0.133535213264711,1.23179277664946e-05,0,0.000594987914649339
"SRI LANKA",2010,7,0.133535213264711,2.56454948072249e-05,0,0.000474999519973719
"SRI LANKA",2010,8,0.133535213264711,1.49162065710083e-05,0,0.000453767417396815
"SRI LANKA",2010,9,0.133535213264711,2.50743021659199e-05,0,0.000454760387015138
"TAIWAN",2010,1,0.136586835521365,2.22539265427487e-07,0,0.00230335255824427
"TAIWAN",2010,10,0.136586835521365,4.5808315933301e-07,0,0.00230335255824427
"TAIWAN",2010,11,0.136586835521365,4.37337308938957e-07,0,0.00256477450536503
"TAIWAN",2010,12,0.136586835521365,4.18117908168263e-07,0,0.00230335255824427
"TAIWAN",2010,2,0.136586835521365,2.12460817330234e-07,0,0.00230335255824427
"TAIWAN",2010,3,0.136586835521365,2.03695372088067e-07,0,0.00230335255824427
"TAIWAN",2010,4,0.136586835521365,1.94413985988581e-07,0,0.00230335255824427
"TAIWAN",2010,5,0.136586835521365,2.46686259361636e-07,0,0.00230335255824427
"TAIWAN",2010,6,0.136586835521365,2.35468737092841e-07,0,0.00230335255824427
"TAIWAN",2010,7,0.136586835521365,2.98721720242136e-07,0,0.00230335255824427
"TAIWAN",2010,8,0.136586835521365,2.85110456805034e-07,0,0.00230335255824427
"TAIWAN",2010,9,0.136586835521365,4.79278491079088e-07,0,0.00230335255824427
"THAILAND",2010,1,0.0355014422441368,0.000295449599390871,0,0.0358160378043547
"THAILAND",2010,10,0.0355014422441368,4.69537836544562e-06,0,0.0419562689893716
"THAILAND",2010,11,0.0355014422441368,4.47650536784635e-06,0,0.0371151286593959
"THAILAND",2010,12,0.0355014422441368,4.28449207430586e-06,0,0.0358160378043547
"THAILAND",2010,2,0.0355014422441368,0.000282018455799246,0,0.0358160378043547
"THAILAND",2010,3,0.0355014422441368,0.000270250788199485,0,0.0358160378043547
"THAILAND",2010,4,0.0355014422441368,0.000258119291530871,0,0.0384204703354089
"THAILAND",2010,5,0.0355014422441368,0.000287838152892082,0,0.0512329772427269
"THAILAND",2010,6,0.0355014422441368,0.000274670742654783,0,0.0358160378043547
"THAILAND",2010,7,0.0355014422441368,0.000262656328459112,0,0.0358160378043547
"THAILAND",2010,8,0.0355014422441368,5.25788671906787e-06,0,0.0358160378043547
"THAILAND",2010,9,0.0355014422441368,4.91168175858533e-06,0,0.0358160378043547
"VIETNAM",2010,1,0.137811629811729,1.96767878350825e-05,0,0.0603962168185392
"VIETNAM",2010,10,0.137811629811729,4.0506515563204e-05,0,0.0603962168185392
"VIETNAM",2010,11,0.137811629811729,3.86367284877046e-05,0,0.0603962168185392
"VIETNAM",2010,12,0.137811629811729,3.69708588732999e-05,0,0.0603962168185392
"VIETNAM",2010,2,0.137811629811729,1.87865670545521e-05,0,0.0603962168185392
"VIETNAM",2010,3,0.137811629811729,1.80089121402824e-05,0,0.0603962168185392
"VIETNAM",2010,4,0.137811629811729,1.71900098292481e-05,0,0.0603962168185392
"VIETNAM",2010,5,0.137811629811729,2.18128412786434e-05,0,0.0603962168185392
"VIETNAM",2010,6,0.137811629811729,2.08209700798332e-05,0,0.0603962168185392
"VIETNAM",2010,7,0.137811629811729,2.64138742271359e-05,0,0.0603962168185392
"VIETNAM",2010,8,0.137811629811729,2.52127906224918e-05,0,0.0603962168185392
"VIETNAM",2010,9,0.137811629811729,4.23826724629274e-05,0,0.0603962168185392
